	all-pl	all-sg	arm-pl	arm-sg	ashes-pl	ashes-sg	bark-pl	bark-sg	belly-pl	belly-sg	big-pl	big-sg	bird-pl	bird-sg	bite-sg	black-sg	blood-pl	blood-sg	bone-pl	bone-sg	breast-pl	breast-sg	burn_-sg	cloud-pl	cloud-sg	cold_weather_-pl	cold_weather_-sg	come-pl	come-sg	die-sg	dog-pl	dog-sg	drink-sg	dry-sg	ear-pl	ear-sg	eat-sg	egg-pl	egg-sg	eye-pl	eye-sg	fat_-pl	fat_-sg	feather-pl	feather-sg	fire-pl	fire-sg	fish_-pl	fish_-sg	fly-sg	full-pl	full-sg	give-sg	good-pl	good-sg	ground_on_the_-_-pl	ground_on_the_-_-sg	hair_of_head_-pl	hair_of_head_-sg	head-pl	head-sg	hear-sg	heart-pl	heart-sg	horn-pl	horn-sg	kill-sg	knee-pl	knee-sg	know-sg	leaf-pl	leaf-sg	leg-pl	leg-sg	lie_down_-sg	liver-pl	liver-sg	long-sg	louse-pl	louse-sg	man-pl	man-sg	many-sg	meat-pl	meat-sg	moon-pl	moon-sg	mountain-pl	mountain-sg	mouth-pl	mouth-sg	nail_body_-pl	nail_body_-sg	name-pl	name-sg	neck-pl	neck-sg	new-pl	new-sg	night-pl	night-sg	nose-pl	nose-sg	one-pl	one-sg	path-pl	path-sg	person-pl	person-sg	rain_-pl	rain_-sg	red-pl	red-sg	root-pl	root-sg	round_as_ball_-pl	round_as_ball_-sg	sand-pl	sand-sg	say-sg	see-sg	seed-pl	seed-sg	sit-sg	skin_human_-pl	skin_human_-sg	sleep_-pl	sleep_-sg	small-pl	small-sg	smoke_-pl	smoke_-sg	stand-pl	stand-sg	star-pl	star-sg	stone-pl	stone-sg	sun-pl	sun-sg	swim-sg	tail-pl	tail-sg	tongue-pl	tongue-sg	tooth-pl	tooth-sg	tree-pl	tree-sg	two-pl	two-sg	walk_-sg	warm_weather_-pl	warm_weather_-sg	water-pl	water-sg	what_-pl	what_-sg	white-sg	who_-pl	who_-sg	woman-pl	woman-sg
himba B312		dyOtsè	magOgO	ogOgO		mitO	didyeeko	nodyeeko	mabuyi	ibuyi		voo	dinyOyi	enyOyi	monomago	βyO		ditsina	egepa	gegepa	mabènè	ibènè	motumbago				gèyigèyi		modyagago	mwiwago	ufa	nufa	mwOŋgago	mokanyaaĠo	matoyi	itoyi	monyeago	mabweŋgee	ibweŋgee	mamitsO	iitsO		madi	ditsaa	notsaa	totoyi	vivoyi	ditswe	eitswe	movèago		vè	mwitsago		bOOtè	mihèŋgè	mohèŋgè	ditsoge	notsoge	mimotswè	omotswè	mwogago	mitema	motema	ditseba	notseba	mobOkago	mabOngO	ibOngO	movegago	didyabi	nodyabi	mitanda	motanda	mbaame			daave	diŋgina	eŋgina	aoma	omoma	pèpè	dinyama	enyama	midaŋga	modaŋga	mikodi	mokodi	myana	wana	didyaata	nodyaata	mamina	ina	miŋgoŋga	moŋgoŋga			mavitsi	imbitsi	dipombo	nopombo		mOtsi	dipOnO	epOnO			diniŋgo	eniŋgo		tsO	migaŋgi	mogaŋgi				vivyaŋga	mobèndago	mwènago			mobwanago	migObO	mogObO	digwadya	egwadya		tsèè	mitutu	motutu		mogumaago			matae	itae		omanda	mwOgago	mikondo	mokondo	dinenee	nonenee	mamino	ino	etete	getete		bae	mwandago		eipo		maiŋgo		iĠe	βèè		inda	aato	omwato
sangu B42/1		botsu		gogu		dibufu		disungu		difumu		nena		nyoonyi	ukaga	upinda		malungu		givisi		dibena	ulula		gipuma		mosu		uyitsa	ufu		monda	unu	uyuma		dyaru	uyi		diki		disu		matsi		ditsala		mbawu		gibera	uvela		ukura	uvega		bwedi		tsi		dinanga		muru	uyulu		uma		tsembu	uboka		digonangu	uyaba		digayi		mukongalu	ulama		dibali	la		tsina		dibagala	dyoku		nyama		tsungi		mukongu		muna		dinyala		dina		digora		mona		dibaati		mbawu		moosi		ndyila		mutu		mvula		ubenga		mukanga				mutsengi	uyamba	ulaaba		kodu	utsagala		gikata		gyolu		keki		ndyumbili		utela		dinyetsa		dimanya		nyangu	utsapa		mugila		dilimi		dinu	miri	mwiri		beyi	uyenda		usula		mamba		gi	fuga		ni		mugetu
fang ntumu A75		b∂s∂		wo		asub		evin		abum		nn∂n		onOn	alob	nsut		metsi		ev∂s		abeŅ	adZik		ŋkut		aZu			awu		mvu	aŅu	ŋkot		alO	adZi		aki		dZis		avOŋ		asè		ndwan		kOs	ay∂l∂		ndZalan	ak∂∂, av∂		mb∂ŋ		si		esii		nlo	awok		nn∂m		nlak	awµiŅ			ay∂m		okèŅ		abO	abom osi		esèk	ayab		Ņin			abwiŅ		tsit		ngOn		ŋkoo		anu		dZèŅ		eyola		kiŋ		mf∂feŅ		alu		dZwUŅ		fOO		Zèn		mot		mv∂ŋ		ev∂l∂		ndZis				ns∂g∂le	adZo	ay∂n		mvOŋ	atOb osi		ekob		oyO		avitsaŋ, ntOk		otsira		t∂t∂l∂		otèteŅ		akOk		vyèn	∂·dZok		ŋg∂m		oy∂m		asoŋ		ele		bèŅ	∂·wul∂		ayoŋ		m∂mdZim		ndZe	mfum		Za		min∂ŋga
sake B252/1		yèsè	mèbO	mbO	mèsuu	risuu	biyiri	yiri				uneni			uyula	ZΩ	mèkilè	rikilè	byisO	yisO	mèbèlè	ribèlè	udZikiyè	mèŋkut∫u	lèŋkut∫u		riyèyi		uZakO	uwakO	bèmbvwa	mbvwa	unOta	yΩmΩyΩmΩ	mèwOgè	riwOgè	udZakO	maki	dZaki	misi	dZisi	mèwO	riwO	bisalO	salO	mutè	dZutè	bèsè	sè			fwa	ukaba		umpalè	myΩĠO	mΩĠo	mèsu	su			uyΩka	mèkOlO	rikOlO	biŋgakO	ŋgakO	uyΩla	mèbO	ribO	unumvukwa	kayi	lèkayi	mimbari	mbari	unama	bisèki	sèki	udawO	bininO	ninO		unumu	ubvulu			bèŋkOndZè	ŋkOndZè	mèmpikO	mpikO	myanO	wanO	mèŅalO	riŅalO	minO	dZinO	mi	ki·	mOnO	yimOnO	mèntO	rintO	mulu	dZulu		iwutu	mèZilO	ZilO	bΩt∫u	mΩt∫u	bèmbvulO	mbvulO		kuO·	mi	ka			rikeZè	rikeZè	udakala	unyèna			yiZigè	bikuntO	kuntO	mèsèyi	risèyi		utari	biyarikye	yarikye			mègètsirè	rigètsirè	mèkOku	rikOku		yowènsèè	uyakO	bikundzu	kundzu	muyu	dZuyu	mèsuŋwO	risuŋwO	byigi	yigi		biba	ulanta		t∫uku		maŋku		inte	pfu		iZa	ubari	umwari
sake B252/2		bèse				ri∫u				mOŅu		unèni	binOnuu	nOnuu	ugumO	nangènangè		lèkilè	byesO	yesO	mèbèèlè	ribèèlè	udZikO				riyèyi		uZako		bèmbwa	mbwa	nOOtO	yomuyomu	mèwOgè	riwOgè	udzakO	maki	dZaki	misi	dZisi	mèwO	riwO	mèsalO	isalO		yeyO	bèsè	sè	dèèsè		fwa	kabO		usombè		misèèŅi		suu	myugu	mugu	ZOko	mingemO	ngemO	mingakO	ngakO	yuulO	mèbOO	ribOO	numbwa	kayi	lèkayi			siibiya	bisèki	sèki	udawO	bininO	ninO	buduumu	unuumu	ubulu		t∫it∫i		mwègi	mèmbekO	mbekO	miwanO	wanO		lèŅalO	minO	dZinO	minki	nki		imOnO	mèndO	rindO	muulu	dZuulu		uŋwuutu		ZelOO	but∫u	mut∫u	bèmpulO	mpulOO		Zu	mikandO				rikeZè	rikeZè	dakalO	Ņèènè			ndZindZigè	mikondO	kondO		dO		utari		yarikyè		tsitsigè				rikOOku		utOnka		mikundzu	kundzu		lèlemi	mèsoŋwO	risoŋwO	bZigi	yigi		biba	landO		doŋwO		mangu		inde	pu		iZa	ubari	umwari
nzebi B52/1		boot∫i	myOxO	xOOxO	mafutu	l∂futu	masuuŋgu	l∂suuŋgu	myoyi	mooyi		bunènè	baŅodi	Ņodi	kaxa	piinda	mandZiina	ndZiina	maβi∫i	l∂βi∫i	mabèènè	l∂bèènè	Ņèèŋgè	bipoma	ipoma		mOOsO		yaada	kwada	bamvwèndi	mvwèndi	ŅOOdO	kaŅa	mat∫wi	l∂t∫wi	t∫aada	mamvuŋgu	l∂mvuŋgu	miisa	diisa		mèèdi	masala	l∂sala	mambwaxa	mbwaxa	bat∫wi	t∫wi	dum∂x∂		baasa	βèèdè		bubvè	matOOtO	tOOtO	naaŋga	l∂naaŋga	mitswè	mutswè	yoxa	mitema	mutema	matseemba	tseemba	boma	mabOOŋgO	l∂bOOŋgO	yaaba	makaya	lèkaya	miila	xuulu	laasa	mabèli	l∂bèli	bula	bat∫ina	t∫ina	babax∂la	l∂bax∂la	kumu	baŅama	Ņama	batsuuŋgi	tsuuŋgi	mikOOŋgO	mukOOŋgO	miŅO	muŅO	Ņada	l∂Ņada	makuumbu	kuumbu	makiiŋga	l∂kiiŋga		na maanZa		butsuxu	mayulu	l∂yulu		mO	mandZila	ndZila	baata	muutu	mamvulu	mvulu		bèèŋgè	mikèŋgi	mukèŋgi			miŅeeŋga	muŅeeŋga	lèèlè	mOOnO	biβèdi	iβèdi	tsax∂la	mikata	mukata	biOlO	∫OlO		bukèèxè	myuki	muuki	mitèlè	mutèlè	bamvilili	mvilili	mamaŅa	l∂maŅa	maŅaŋga	Ņaŋga	yObO	mikela	mukela	malimi	l∂limi	miina	diina	miti	muti		byOlO	yèndè	byots∂la	∫ots∂la		maamba		biki	fuuku	bana	na	bakaasa	mikaasa
lumbu yi tandu B44		bOtsu	miOu	wOu		dibufu	tsinyul∂	dul∂	bifumu	ifumu		bul∂	tsinyunyi	nyunyi	uxak∂	fyot		mèng∂	miβisi	muβisi	mabeene	dibeene	unyènZi	matuti	dituti		yootsi		uyits∂	ufu	tsimbu	mbu	unu	wumO	maru	dyaru	udZi	maki	diki	masu	diisu		mafut∂	tsisala	dusala		mbaatsu	tsitsi	mbitsi	udamaĠa		waal∂	uβèO		boti		buteyi	milèngi	mulèngi	miru	muru	Ġulu		murim∂		disihi	ubOk	mahungulu	dihungulu	udZyab∂	maĠadZi	diĠadZi	mimvindi	mumvindi	labuli	tsimbalu	mbalu			tsin∂	babax∂l∂	dibax∂l∂	pupwOl		mbitsi mu siku		ngOndi	milaandu	mulaandu	minu	munu	tsintsal∂	duntsal∂	man∂	din∂	maling∂	diling∂		mOOn∂		bwili	madZilu	lidZilu		mw∂Ġ		ntsil∂	batu	mutu	tsimful∂	mvul∂		ibèng∂	tsinganZi	dunganZi		wOngul∂		isek∂	ukaamb∂	umOn∂		bihunu	tsaxal∂	misandu	musandu		yilu		didi				kèlm∂	tsimbwetiti	dumbwetiti	mamanyi	limanyi		nyangu	usuu	miyeli	muyeli	malimè	lulimè	manu	dinu	miri	muri		wali	uyènd∂		nyufu		maamb∂		bi	uβèmbo			bahetu	muhetu
kota B25/1		bahedZe	mabo	ebo	mahuweke	ihuweke		epaZi	myohi	mohi		onene	boŅodi	Ņodi	itokala	pi		ndZian	behe	ehe	mabehe	ibehe	ihiŅe	bebemeke	ebemeke		iyehu		iya	iwa	bambwande	mbwande	imua	ihoma	malo	ilo	idZa	matsehi	itsehi	miho	diho		madi	maha	dZaha		hueya	bafe	fe	isanga		leluba	iwe		mbale	mahendZe	ihendZe	hue	ohue	myolo		ihoka		lema	melaka	laka	iboma	mabongo	ibongo	yeba		ikahi	mako	eko	onangaka	behetse	ehetse	buaba	bahidZe	hidZe	bandomana	ndomana	but∫e		tito		ngonde	mekodi	kodi	mehoko	hoko	maŅa	oŅa	makombo	kombo	matsingo	tsingo		sate		epundu	mohu	dZohu		ekolo	mapehi	pehi	bato	moto	bambua	mbua		lue	mekanga	kanga		dZelele		ihinhi	itanda	iyene			isi	mekaZa	kaZa		iyo		otiki		ibutuku		tete	myedi	mwedi	mamaŅa	imaŅa		buia	ipuba		kondo	mohi	dZohi	mino	dino	myele	mwele		eba	idZonga		etokuma	meso	so		inde	pu		iZa		mwahito
wumbvu B24/1		bèèsè	mabooko	booko	maswiiki	dZiswiiki	mapaalu	dZipaalu	myooyi	mooyi		laayi		ŅOOdZi		yuututu		makiila	biyiisi	yisi	mabèèlè	dZibèèlè	bvutsuumba	mangutsu	lèngutsu		pèèĠu		bvuya	bvuwa	bamvaandi	mvaandi	bvunoota	yuuma	maruuyi	dZiruuyi	bvudZa	mabi	dZibi	misa	dZisa		dZiwoongo	masaala	disaala		munya	baswi	swi	bvulèèsè		bvuruunda	bvukaaba		vè		sèèngyè	mikungya	mukungya	myuru	muuru			muriima	masèèmbè	dZisèèmbè	bvubuuma	mabOOngo	dZibOOŋgO	bvuyèèba	makaayi	likaayi	makuulu	kuulu	bvunaanga		dZibaalu		ba∫iidZè	∫iidZè	mabaaka	dZibaaka	yitsi	baŅaama	Ņaama		suunZi	mikuunZa	ŋkuunZa	minZuumfu	munZuumfu	Ņaara	leŅaara	mina	dZina	makiingu	kiingu		kyaaŋa	bipiinZi	piinZi	myuulu	dZuulu		yOOkoto	mapèèyi	pèèyi	baatu	muutu	bamvula	mvula		rwii	mikaanga	mukaanga		dZèdZè		muZèèyi	bvutaanda	bvuyèènè		mbuuru	bvusunda	mikaaZa	mukaanZa		yiila		tè		tsuuku		bvutèlème		ŅOOtsitsi	mamaaŅa	dZimaaŅa		dZitaadZi	bvufuba	mikiila	mukiila	maliimi	dZiliimi	mina	dZina	miiri	mwiiri		byOOlè	bvulaanda		mbiidZè		maangu		aayè	fuu		Za	baatu	mwaatu
nzebi B52/2		boot∫i		ĠooĠo		lèfutu	masuungu	lèsuungu	myooyi	mooyi		la	baŅudi	Ņudi		piinda		nZina	maβi∫i	liβi∫i	mabèènè	lèbèènè	utsuha	bidima	idima		mOOsO		yaanga	kwa	bamvwèèndi	mvwèèndi	ŅO	kaŅa	mat∫wi	lèt∫wi	t∫a	bamvuungu	lèmvuungu	miisa	diisa		mèèdi	tsala	lèsala	mambwaaha	mbwaaha	bat∫wi	t∫wi	dumuha		baasa	βèèdè		bwèèyi		tOtO		tsuhi	mitswè	mutswè		mitèma	mutèma	matsèèmba	tsèèmba	buma		lèboongo	yaaba	makaya	l∂kaya	miila	huulu	bundana	mabèli	lèbèli				babahala	lèhabala	bulèhi		bibètè		tsuungi	mikoongo	mukoongo	miŅo	muŅo	Ņada	lèŅada	mandoxa	ndoxa	makiinga	lèkiinga		maanZa		butsuhu	mayulu	lèyulu		mOO	manZèla	nZèla	baatu	muutu	mamvulu	mvulu		bèèngè	mikèngi	mukèngi		tsyeengele	miŅèènga	muŅèènga	lèèla	mOna		mihunu	tsahala	mikata	mukata		∫OlO		kèhè	myuuki	muuki		tèmènè		mvilili		lèmaŅa		lètadi	yobo	mikila	mukila	malimi	lèlimi	miina	diina	miti	muti		byOOlè	ŋwèènda		nZungili		maamba		buŅi	fuuku		na	bakaasi	mukaasi
punu B43/1 + wumbvu B24/2		bèsè / bootso	byowo	wowo	masyiki / mabuufu	dZusyiki / dibuufu	mapaalu / makuku	dZipaalu / dikuku	myOyi / myoodZi	mOOyi / moodZi		mulaayi / bula	batsoli	ŅOOdZi / tsoli	luwa	yututu / piinda	mètsila	ditsila / meenga	biyisi / biβisi	yisi / iβisi	mabèèlè / mabeeni	dZibèèlè / dibeeni	ŋmba / uŅeenZa	bidZima / matuti	dZima / dituti		pèwu / yootsi		yaaka / uruĠa	wa / ufwa	bamva / bamoondi	mva / moondi	nwa / unu	yuuma / wuumiĠa	maluuyi / matuudZi	dZiluuyi / dituudZi	dZaaka / udZi	mabi / makedi	dZibi / dikedi	miisa / miisu	diisa / diisu	mèwoongo	dZiwoongo / maadZi	mèsaala / tsala	disaala / lutsala		munya / mudZi	baswi	swi / Ņoonsi	lèèsè / udumuĠa		lunda / ubaasa	bvukaaba / uβeeĠa		muvè / boti		sènZè / butamba	nanga	lunanga	myulu / miru	muulu / muru	yuuka		mulima / murima	mèsèèmbè / masiyi	sèèmbè / disiyi	buuma / uboka		dZibOOngO / dikotolo	yiiba / udZyaaba	kaayi / maĠadZi	likaayi / diĠadZi	mataambi	ditaambi	bvunaanga / ulaama		dZibaalu / lubele		ba∫iidZè / batsina	∫iidZè / tsina	mabaaka / babaĠala	dZibaaka / dibaĠala	uyitsi / pwele	bèŅaama / baŅama	Ņaama / Ņama	basuunZi	suunZi / ngoonda		mukuuŋZa / mukoongo	minZumvu / minu	munZumvu / munu	Ņaala / Ņala	liŅaala / luŅala	miina / mina	dZiina / dina	matsingu / makiingu	tsingu / kiingu		tsaanga / iwoona	bipinZi / mikolo	pinZi / mukolo	madZuulu / mambasu	dZuulu / mbasu		yOkOtu / yimosi	mèpèyi	pèyi / nZila	baatu / batu	muutu / mutu	bamvula / mamvula	mvula / mvula		lwi / beenga	mikaanga / ngaanZi	mukaanga / lungaanZi		dZèlèdZèlè / wongolo	miZèyi	muZèyi / nsyengili	bvutaanda / utsingula	yèènè / ulaba	biwuna	mbuulu / iwuna	dZaaka / utsaala	bibaanda / miĠaanda	baanda / muĠaanda		yilo / yilu		utè / keki	bitsulu	tsuku / nZumbili		mutèlè / urelema		mwètsitsi / mbwelili	mamaaŅa	dimaaŅa / dimaŅi	myusa	muusa / taangu	fuba / ubwiilila	mitsila / miĠila	mutsila / muĠila	malimi / malimi	dilimi / dilimi	mina / minu	dina / dinu	miiri / miri	mwiri / muri		byOlO / bibeZi	laanda / uweenda		mubidZè / yuufu		maangu / maamba		ayi / keyi	fuu / fuuĠa		Za / keni	baatu / baĠeetu	mwatu / muĠeetu
pove B22c (B305)	myOtsu	wOOtsu	mOgu	ogOgu	miti	mutu	masoŋgo	esoŋgo	mabumu	ebumu		teta		ŅoŅi	tsotsaka	yida		nZina		gyepa	mabèn∂	ebèn∂	looka				mOOsu		dyaaka	gwaka		mbwande	nvaka	gaasaka	metu	etu	aka	makèi	ekèi	misu	isu		maadi		tsala	eku	iku		tsue			dyadyaka	kaaba		loova		tOtO		tsooge	miotsu	motsu	okokwè	mitema	motema	tseva	tseva	bomaka	migonungwè	egonungwè	ikake	magèi	ogèi	makudu	okudu		mabali	ebali	dava		tsina	wato	moto	bua		byaaka		tsoongi	mikOdi	mukOdi	miŅa	muŅa		eŅata	mina	ina	miŋgonga	moŋgonga		tsaandè	maviti	viti	mapoombo	opoombo		mweta		nZiya	owaatu	muutu		mbua		bènga	mikang∂	mukanga			misègi	musègi	bèènda	ènaka		isua	disaka	bikata	gekata		βilu	tsèli	nZèli	mitutu	mututu			midaanga	mudaanga	mataè	etaè		ombiè	bwelaka	mipe	mupe		olemi	minu	iinu	myeti	mweti		maba	yOkO		piwè		maamba		byande	vèmbuga	wuOdi	odi	wagètu	mugètu
sangu B42/2		botsu	myoĠu	ĠoĠu	mabufu	dibufu	masuŋgu	disuŋgu	mafumu	difumu		umula	banyonyi	nyonyi	tsefu	Ġipinda		malungu	biwisi	iwisi	batulu	tulu	yoĠa	mabuŋgi	dibuŋgi	myosu	mosu		ruĠa	difu	bamoonda	moonda	uaĠa	ĠiyumuĠa	maru	dyaru	yaŋga	maki	diki	misu	disu		matsi	batsala	ditsala		mbawu	bisoonZi	isoonZi	purmuĠa		mbili	uwèĠa	baibwedi	wibwedi		vatsi	banaŋga	dinaŋga	miru	muru	yulu	mirima	murima	batsembo	tsembo	uboka	maĠonuŋgu	diĠonuŋgu	uyaba	maĠayi	diĠayi	byoru	Ġyoru	ulama	lifundu	ifundu		batsina	tsina	babaĠala	dibaĠala		banyama	nyama	myètsa	mwètsa	mikoŋgu	mukoŋgu	mina	mona	banyala	dinyala			maĠora	diĠora		Ġimonyu	mabati	dibati	bambasu	mbasu		mosi	banZila	nZila	batu	mutu	bamvula	mvula		ibèŋga	mikaŋga	mukaŋga		dibuŋgili	miseĠi	museĠi	uyambila	ulaba			utsaĠala	bilanda	ilanda	byolu	Ġyolu		kyeki	banZumbili	nZumbili		mutèla	banyetsi	dinyetsi	mamanyi	dimanyi	banyaŋgu	nyaŋgu	utsapa	miĠila	muĠila	malimi	dilimi	mino	dino	miri	mwiri		bibeyi	woka		Ġyusula		mamba		ĠyoĠi	fuĠa		yanyi	baĠyètu	muĠyètu
duma B51		bosi		gOgO		mutoyi		lipalu		moyi		bula		Ņodi	ikaga	livindu		makila		ivi∫i		libèèlO	iŅèngisè				piyu		iyanga	ikwa		mbwandi	iŅwa	ikaŅa		litswi	it∫a		libi		disu		maadi		litsala		mbagu		tswi	iyiba		ironda	ivèdè		bukwè		tOtO	tsugi	litsugi		mutswè	iyoga		mutema		litsèmbO	iboma		libOngO	iyaba		likaya		gulu	ilasa		libali			t∫ina		libaala	kuna		Ņama		tsungi		mukudi		muŅwa		liŅara		kumbu		likingu		ŅaŅi		ipundu		liyulu		mumO		nsela		muutu		mbula		libèngu		mikanga				munseyi	ilèlè	imOnO		mbutu	it∫ala		mukansa		∫yOlO		ngebè		mututu		itèminè		mbulala		limanya		muyi	iyObO		mukela				diŅu		muti		byOlè	ilanda		mbagu		maamba		biki	livuku		na		mukasu
teke tsaayi B73a/2 (Libele)		bwOOsO	myoĠo	kwoĠo		mufutu	bisuu	isuu	myèèyi	muuyo		la	baŅuni	Ņuni		piini		makilè	miwisi	muwisi	mabèlè	bèlè	kutsuka		lèlaana		pyo		kuya	kukwa	banvwa	mvwa	kuŅwa	kaĠi	matswi	tswi	kudZa	mabi	bi	misi	disi		maara	tsala	litsala		mbaa	batswi	tswi	kudZumuna		luula	kuwa		bvè		tsiyè	bapfu	pfu	mitswe	mutswe			mutima	matsimè	tsiimè	kudZubo	mabuĠo	buĠo	kuyaaba	matswisi	tswisi	mili	kulu	la		lisoĠo		batsini	tsini	babalèĠè	balèĠè	pilè		Ņama	batsui	tsui		lisèlè	miŅwa	muŅwa	maŅala	liŅala	manduĠu	nduĠu	makii	likii		naseri		butsuhu	mayulu	yulu		kumo	makuulo	kuulo	baata	muutu		mvula		byèè	midZa	mudZa		kokobo		musiĠi	kulèlè	kumona		kuna	bvasini	mikobo	mukobo		tolo		kikyètè		yuku		tèmana		mvèlèlè		maya		tèrè	kuyoko	mikilè	mukilè	malimi	lilimi	mini	dZini	miti	muti		byèlè	kudZwè		mβèβèrè		madZa		dZa	pèè		na	bakaasi	mukaasi
lumbu B44		bootsu	miĠooĠo	muĠooĠo	mabuufu	dibuufu			bifumu	ifumu		nene	tsiŅuŅi	iŅuŅi	uĠaka	fyoota		mèènga	miβisi	muβisi	mabèèni	dibèèni	uĠoka	maduunga	diduunga		yootsi		wiitsa	ufwa	tsimbwa	imbwa	unwa	iwuuma	maru	dyaru	udya	maki	diki	miisu	diisu		mafuta	tsitsala	dusala		mbaatsu		imbitsi imaamba	dumuĠa		iwaala	uβèĠa		boti		butaĠi	mileengi	muleengi	miru	muru	ulu		murima	maβala	diβala	uboka		diĠungulu	uyaaba	tsimbalu	dubalu	maalu	Ġuulu	ununguĠa	tsimbèlè	dubèlè	bula	tsitsina	itsina	babaĠala	dibaĠala	pwèèlè	tsimbitsi	mbitsi		ngOOndi	milaandu	mulaandu	minu	munu	tsintsala	dunsala	mina	dina	maliinga	diliinga		imoona	bitOOmbi	itOOmbi	mayilu	diyilu		mèsi	tinsila	nsila	batu	mutu	tsimfula	mfula		ibeenga	tsingaansi	dungaansi		uβyengila		musengini	utuba	umona		imboongo	utsaĠala	miĠaanda	muĠaanda		yilu		idiidi		mwiisi		relema	tsimbotila	dumbotila	mamaŅi	dimaŅi	tsitaangu	yitaangu	usuĠa	miĠila	muĠila	tsindimi	dulimi	minu	dinu	miri	muri		wali	weenda				maamba		bi	vèmbuĠa		nani	baĠetu	muĠetu
liwanji B511		osi	myOOĠO	ĠOĠO		mitOyi	bisuuŋgu	isuuŋgu	myOyi	mOyi		la	banyOdi	nyOdi	ikaĠa	βiinda		makila	biβisi	iβisi	mabèèlO	libèèlO	inyèèngè				piyu		iya	ikwa	bambwaandi	mbwaandi	inywa	akanya	mat∫wi	lit∫wi	it∫ya	mabi	libi	miisu	diisu		maadi	mat∫ala	lit∫ala	mambaĠu	mbaaĠu	bat∫wi	t∫wi	idumaĠa		arOOnda	iβèèdè		bwè	matOtO	tOtO	t∫uĠi	lit∫uĠi	mit∫wè	mut∫wè	iyoĠa	mitema	mutema	mat∫èèmbO	lit∫èèmbO	iboma	mabOOŋgO	liibOOŋgO	iyaaba	makaya	likaya	miilu	Ġuulu	syOlO	mabali	libali		bat∫ina	t∫ina	baatu	muutu	ikuna		nyama		t∫uuŋgi	bikudi	ikudi	minywa	munywa	nyara	linyara	makuumbu	kuumbu	makiiŋgu	likiiŋgu		nyaanyi	bipuundu	ipuundu	mayulu	liyulu		mO	manyèla	nyèla			mambula	mbula		abèèŋgè	mikaŋga	mukaŋga			bisèĠè	isèĠè	ilèèlè	imOnO	mbutu	libutu	it∫yala	mikaanya	mukaanya	masyOlO	syOlO		kèèĠè	myututu	mututu		mutèlè	bambulala	mbulala	mamanya	limanya		litadi	iyObO	mikela	mukela	malimi	lilimi	meenyu	diinyu	miti	muti		OOlè	iyèèndè		nyungili		maamba		biki	βuka		na	bakaasu	mukaasu
mahongwe sama B251/2		èèhè		bO		huweeke	mapiyu	ipiyu		ooyi		nènè		nyoodi	toona	ndaŋgandaŋga		tOku		he		bèèlè	tumba		mbiit∫i		yèyikelele		yaa	waa		mbwandè	nOOrO	yooma		looyi	dyaa		t∫èyi	miiwo	diiwo		maadi	masalala	lisalala		onya		fe	∫amba		eloondo	kaba		mbale		hèèndzè		huwe	myoolo	moolo	yooka		nima		laaka	boma		bOOŋgO	yeeba		kaya		kolo	nnanga		èèt∫è	layi		hiidzè		baka	boot∫e		nyama		ŋgOndO		koodi		muumbu	lènyaala	nyaala	miinu	diinu		t∫iingo		mbalè	bepundu	epundu	moolo	dzoolo		OOkO	mapèyi	pèyi	baato	mooto	bambula	mbula		kweehee		nkaaŋga		buŋgulu buŋgulu		Zaalo	sOOkO	yeene		nokwè	yiint∫i		kaaZa		lO		t∫ikini		butuku		kèèlè		èèsi		kOku		ooyi	kuba	mèt∫eela	t∫eela		lemi	miinu	diinu	myeele	mweele		OOlè	laala		muŅa	meso	nso		t∫ebwe	kobo		kiZa	baito	mwiito
bwisi B410		bootsu	makaanda	dikaanda		dibuufu	makuku	dikuku	mafumu	ifumu		bula	tsinini	nini		ufyoota		meenga	miβese	muβese	mabeeni	dibeeni	uwoka	matuti	dituti		yootsi		yitsa	ufwa	tsimbu	mbu	unu	iwuuma	maru	dyaru	udZi	maki	diki	miisu	diisu		mafuta	tsitsala	dusala	tsimbaatsu	mbaatsu		mbitsi maamba	udumuĠa		uwaala	uβeeha		uŅèèβa		buteyi		muleengi	miru	muru			murima	maβala	diβala	uboka		diĠunĠulu	udZaaba	maĠadZi	diĠadZi	tsitaambi	dutaambi	ulabuli		mboombo		tsitsina	tsina	babaala	dibaala	pwele	tsimbitsi	mbitsi	tsingoondi	ngoondi		mulaandu	minu	munu	tsinZala	dunZala	mina	dina	maliinga	diliinga		imoona		bwiilu	madZilu	didZilu		mosi	tsinZila	nZila	batu	mutu	tsimvula	mvula		ibeenga	tsingaansi	dungaansi		iβyeengila		museka	ukaamba	umona		βara	utsaala	miĠaanda	muĠaanda		yilu		idiidi		mwiisi		urelema		dumbwetila		dimani	tsiŅangu	Ņangu	usuĠa		muĠila	ndimi	dulimi	minu	dinu	miri	muri		byoole	uweenda				maamba		bi	uβembuĠa		na	baĠeto	muĠeto
